emp_no,first_name,last_name,birth_date,from_date,to_date,title
15050,Nikolaos,Kruskal,2065-01-18,1990-12-17,9999-01-01,Senior Engineer
15058,Bouchung,Bugrara,2065-01-30,1990-06-18,9999-01-01,Senior Staff
15376,Geoff,Soicher,2065-01-10,1988-08-14,2001-03-01,Senior Staff
15413,Arvin,Rabejac,2065-01-17,1994-01-01,9999-01-01,Senior Engineer
16461,Remmert,Schahn,2065-01-14,1986-09-06,9999-01-01,Senior Staff
16528,Gaurav,Swick,2065-01-21,1996-05-07,9999-01-01,Engineer
17013,Morris,Garigliano,2065-01-15,1995-05-24,9999-01-01,Senior Staff
17206,Berry,DeMori,2065-01-02,1992-12-27,9999-01-01,Senior Engineer
17369,Yaghout,Kenevan,2065-01-31,2000-09-15,9999-01-01,Senior Engineer
17447,Zengping,Boreale,2065-01-11,1998-12-16,9999-01-01,Staff
17618,Teiji,Picco,2065-01-12,1992-09-17,1999-11-08,Staff
17731,Gennady,Roison,2065-01-16,1989-12-06,9999-01-01,Engineer
17799,Gro,Gini,2065-01-28,1997-09-28,2001-07-11,Engineer
17970,Filipp,Carrere,2065-01-06,1989-01-09,9999-01-01,Technique Leader
17988,Mabhin,Calkin,2065-01-31,1989-11-30,9999-01-01,Senior Engineer
18021,Adil,Matzke,2065-01-07,1987-05-08,9999-01-01,Senior Engineer
18187,Denis,Falster,2065-01-08,1998-12-21,1999-06-03,Staff
18424,Filipp,Rousseau,2065-01-19,1995-06-07,9999-01-01,Senior Engineer
18583,Stafford,Honglei,2065-01-03,1998-08-16,9999-01-01,Staff
18617,Surveyors,Crouzet,2065-01-21,1989-04-24,9999-01-01,Senior Staff
18810,Taiji,Jarecki,2065-01-09,1991-06-27,9999-01-01,Senior Engineer
19236,Elzbieta,Morris,2065-01-24,1988-07-12,9999-01-01,Senior Engineer
19350,Satoru,Yoshizawa,2065-01-19,1994-03-27,9999-01-01,Senior Staff
19803,Ziva,Kowalchuk,2065-01-30,1987-06-13,9999-01-01,Senior Engineer
20100,Utz,Heuter,2065-01-18,1986-06-15,9999-01-01,Senior Staff
20128,Kazunori,Peak,2065-01-23,1999-08-13,9999-01-01,Senior Staff
20129,Rafael,Skafidas,2065-01-10,1991-03-28,9999-01-01,Senior Engineer
20248,Vidar,Demri,2065-01-12,1999-12-31,9999-01-01,Staff
20313,Candida,Benveniste,2065-01-24,1999-01-20,9999-01-01,Engineer
20500,Christoph,Trystram,2065-01-30,1993-10-15,9999-01-01,Senior Staff
20712,Valeri,Escriba,2065-01-26,1994-04-09,1998-05-02,Engineer
20720,Heejo,Brodie,2065-01-17,1996-12-27,1997-05-17,Senior Staff
20885,Otmar,Rothenberg,2065-01-21,1989-03-14,9999-01-01,Senior Engineer
21181,Jianhui,Cangellaris,2065-01-21,1991-10-06,9999-01-01,Engineer
21188,Piyush,Danecki,2065-01-21,2000-01-08,9999-01-01,Engineer
21534,Alagu,Luders,2065-01-12,1996-04-03,1997-12-14,Staff
21546,Yongmin,Lanteri,2065-01-01,2002-03-19,9999-01-01,Senior Staff
21843,Karsten,Azadmanesh,2065-01-09,1985-11-29,9999-01-01,Senior Engineer
21909,Mohammed,Brizzi,2065-01-04,1991-12-28,9999-01-01,Senior Staff
22027,Sangeeta,Georg,2065-01-27,1992-07-31,1998-03-14,Staff
22185,Huai,Birch,2065-01-29,2002-06-12,9999-01-01,Engineer
22415,Perla,Jumpertz,2065-01-20,1994-08-24,9999-01-01,Senior Staff
22451,Jasminko,Bresenham,2065-01-27,1994-01-19,9999-01-01,Senior Staff
22455,Barry,Unno,2065-01-06,1990-11-16,9999-01-01,Senior Staff
22502,Rutger,Binkley,2065-01-29,1989-10-16,2001-11-02,Senior Engineer
22926,Manibrata,Genther,2065-01-01,1988-01-15,9999-01-01,Senior Engineer
23396,Hilari,Fairtlough,2065-01-02,1986-12-15,9999-01-01,Technique Leader
24080,Jaana,Perez,2065-01-26,1996-03-11,9999-01-01,Technique Leader
24189,Abdelaziz,Atrawala,2065-01-16,1993-03-28,1997-02-23,Staff
24205,Roddy,Rubsam,2065-01-25,1993-09-19,9999-01-01,Senior Engineer
24377,Lubomir,Wroclawski,2065-01-25,1993-07-25,9999-01-01,Senior Engineer
24394,Zhonghui,Conta,2065-01-04,1994-09-10,9999-01-01,Staff
24421,Dannz,Grospietsch,2065-01-10,1990-09-01,2000-10-12,Senior Engineer
24553,Anwar,Passafiume,2065-01-12,1987-01-30,9999-01-01,Senior Staff
24571,Cordelia,Gischer,2065-01-20,1989-03-14,9999-01-01,Senior Engineer
25488,Ingmar,Basawa,2065-01-19,1991-11-09,9999-01-01,Senior Staff
26476,Bilhanan,Karcich,2065-01-19,1996-04-09,1997-02-04,Staff
26503,Shietung,Billingsley,2065-01-27,1998-11-07,1998-12-02,Senior Staff
26617,Berto,Bruckman,2065-01-06,1991-11-23,1994-03-27,Engineer
26629,Nevin,Rodham,2065-01-28,1998-12-14,9999-01-01,Senior Staff
26671,Jiakeng,Kalorkoti,2065-01-21,1994-12-25,9999-01-01,Senior Engineer
26788,Zongyan,Dalphin,2065-01-25,1988-04-23,9999-01-01,Senior Engineer
27150,Chenyi,Plump,2065-01-06,1992-06-23,1995-05-22,Staff
27331,Wanqing,Krohm,2065-01-19,1991-01-22,9999-01-01,Senior Staff
27378,Piyawadee,Leppanen,2065-01-28,1999-02-25,9999-01-01,Senior Staff
27620,Shuji,Kandlur,2065-01-25,1990-03-02,9999-01-01,Senior Engineer
27686,Manu,Rosiles,2065-01-28,1998-03-03,9999-01-01,Senior Staff
27699,Falguni,Pezzoli,2065-01-15,1996-12-23,9999-01-01,Engineer
27767,Tooru,Veldwijk,2065-01-27,1993-11-21,9999-01-01,Senior Staff
27970,KayLiang,Miyakawa,2065-01-12,1995-11-22,2000-02-07,Technique Leader
28193,Xinglin,Mitsuhashi,2065-01-29,1988-12-14,9999-01-01,Senior Engineer
28222,Mayuko,Vitiello,2065-01-11,1993-12-22,1995-10-16,Technique Leader
28974,Chenxi,Sundgren,2065-01-09,1986-09-02,9999-01-01,Senior Engineer
28988,Tua,Giveon,2065-01-18,1998-09-09,9999-01-01,Technique Leader
29130,Xumin,Thorensen,2065-01-06,1998-04-26,9999-01-01,Staff
29265,Gilbert,Calkin,2065-01-14,1988-03-21,9999-01-01,Senior Staff
29380,Satoru,Vidal,2065-01-30,1998-05-02,9999-01-01,Assistant Engineer
29418,Valery,Mersereau,2065-01-22,1998-07-01,9999-01-01,Assistant Engineer
29679,Kolar,Steenbeek,2065-01-17,1986-10-18,9999-01-01,Senior Engineer
29782,Jouko,Hellwagner,2065-01-29,2000-10-23,9999-01-01,Senior Engineer
29954,Pranay,Giarratana,2065-01-27,1992-09-29,9999-01-01,Senior Engineer
30007,Kousuke,Vecchio,2065-01-24,1990-02-23,9999-01-01,Senior Engineer
30035,Tetsushi,Conta,2065-01-08,1995-07-04,9999-01-01,Senior Staff
30154,Mayuko,Skafidas,2065-01-26,1999-04-19,9999-01-01,Technique Leader
30182,Leon,Potthoff,2065-01-26,1985-12-08,9999-01-01,Senior Engineer
30465,Randi,Avouris,2065-01-28,1986-07-16,9999-01-01,Senior Engineer
30484,Sailaja,Chvatal,2065-01-11,1999-05-18,9999-01-01,Staff
30552,Yishai,Terlouw,2065-01-18,1986-09-19,1999-01-07,Senior Engineer
30695,Gudjon,Majewski,2065-01-08,1999-10-26,9999-01-01,Senior Engineer
30938,Yakkov,Samarati,2065-01-06,1997-10-10,9999-01-01,Senior Staff
31147,Divine,Sidhu,2065-01-04,1989-07-05,9999-01-01,Senior Staff
31170,Tuval,Waleschkowski,2065-01-08,1987-10-16,1988-12-14,Senior Staff
31188,Leandro,Gist,2065-01-12,1993-02-03,9999-01-01,Technique Leader
31207,Abdelwaheb,Dulin,2065-01-30,1993-08-05,9999-01-01,Senior Engineer
31341,Oksana,Zultner,2065-01-01,1991-03-23,9999-01-01,Senior Staff
31514,Harngdar,Schapire,2065-01-13,1996-11-09,9999-01-01,Senior Engineer
31568,Mark,Lalonde,2065-01-10,1996-11-24,9999-01-01,Staff
31599,Qingxiang,Gewali,2065-01-05,1997-09-22,1998-12-01,Engineer
31629,Toong,Veldwijk,2065-01-24,1986-07-28,1996-04-26,Engineer
31909,Murthy,Peek,2065-01-10,2000-10-30,9999-01-01,Engineer
32347,Terresa,Peres,2065-01-08,1990-09-15,9999-01-01,Senior Staff
32552,Atreye,Stanger,2065-01-17,1993-09-10,9999-01-01,Engineer
32622,Piyush,Paciorek,2065-01-23,1991-04-07,1991-07-18,Staff
32649,Ingmar,Nannarelli,2065-01-12,1988-06-10,9999-01-01,Senior Staff
32714,Radoslaw,Maliniak,2065-01-16,2001-09-18,9999-01-01,Staff
32844,Tadahiko,Melton,2065-01-23,1995-01-07,9999-01-01,Engineer
33025,Jessie,Thorelli,2065-01-12,1999-12-16,9999-01-01,Senior Staff
33215,Steen,Fasbender,2065-01-29,1993-02-14,9999-01-01,Technique Leader
33293,Adamantios,Vanwelkenhuysen,2065-02-01,1994-01-11,2000-08-18,Engineer
33606,Clyde,Swift,2065-01-02,1994-11-14,1996-12-29,Staff
33722,Anwar,Collette,2065-01-15,1994-03-22,2001-02-03,Senior Engineer
34077,Angel,Sichman,2065-01-08,1988-11-16,9999-01-01,Senior Staff
34261,Kyoichi,Callaway,2065-01-05,1990-12-30,9999-01-01,Senior Staff
34446,Chinhyun,Bauknecht,2065-01-31,1986-12-19,9999-01-01,Senior Engineer
34452,Naftaly,Foong,2065-01-08,1991-05-10,9999-01-01,Senior Engineer
34505,Felicidad,Kumaresan,2065-01-28,1994-09-06,9999-01-01,Senior Staff
34533,Erzsebet,Shigei,2065-01-10,1991-01-21,1995-01-16,Senior Engineer
34780,Moni,Kohling,2065-01-16,1994-07-21,2001-09-18,Staff
34788,Ennio,Babu,2065-01-27,1994-08-31,9999-01-01,Senior Engineer
34936,Bokyung,Stamatiou,2065-01-12,1991-02-12,9999-01-01,Technique Leader
35044,Jiang,Waschkowski,2065-01-04,1989-05-27,9999-01-01,Senior Engineer
35087,Leif,Ashish,2065-01-17,1994-10-14,9999-01-01,Senior Staff
35441,Chandrasekaran,Peek,2065-01-31,1988-02-07,1990-09-17,Senior Engineer
35642,Ashish,Talmon,2065-01-30,1995-06-13,1999-02-28,Senior Engineer
35793,Oscar,Kusalik,2065-01-01,1991-05-11,9999-01-01,Senior Staff
35798,Ulf,Oberman,2065-01-29,1997-03-15,9999-01-01,Senior Engineer
36521,Serif,Gladwell,2065-01-21,1987-03-06,9999-01-01,Senior Staff
36626,Fen,Genin,2065-01-02,1986-05-09,9999-01-01,Senior Staff
36733,Uma,Reinhard,2065-01-04,1997-11-01,9999-01-01,Staff
36844,Hailing,Levergood,2065-01-01,2000-01-12,9999-01-01,Staff
36982,Kotesh,Rajala,2065-01-22,1992-06-23,9999-01-01,Senior Engineer
37070,Jeong,Undy,2065-01-22,1985-02-13,9999-01-01,Senior Staff
37592,Berni,Stranks,2065-02-01,1985-11-05,1992-09-19,Engineer
37719,Nakhoon,Buescher,2065-01-31,1988-06-12,1999-01-17,Engineer
37945,Suzette,Butterworth,2065-01-02,1994-02-19,9999-01-01,Senior Engineer
38017,Ulf,Himler,2065-01-24,1994-01-02,1995-08-05,Staff
38043,Michaela,Randi,2065-01-05,1985-11-23,9999-01-01,Senior Engineer
38103,Masasuke,Babu,2065-01-12,1988-03-31,9999-01-01,Senior Engineer
38168,Fumiko,Deverell,2065-01-14,1987-08-15,9999-01-01,Senior Staff
38550,JoAnne,Baez,2065-01-14,1987-02-16,9999-01-01,Senior Engineer
38593,Huei,Orsini,2065-01-14,1986-06-04,9999-01-01,Senior Engineer
38947,Shuichi,Ruemmler,2065-01-25,1998-04-08,9999-01-01,Senior Staff
39000,Martijn,Vendrig,2065-01-08,1997-03-03,9999-01-01,Senior Staff
39036,Changho,Cappelli,2065-01-08,1996-05-04,9999-01-01,Staff
39268,Constantijn,Awdeh,2065-01-10,1987-10-20,1990-06-10,Engineer
39301,Rimon,Kawashima,2065-01-07,1992-02-06,9999-01-01,Senior Staff
39341,Mahmut,Lampe,2065-01-01,1985-05-11,9999-01-01,Senior Engineer
39952,Otmar,Sudbeck,2065-01-02,1998-07-22,9999-01-01,Staff
40269,Toshiki,Ghazalie,2065-01-10,1991-12-05,9999-01-01,Senior Staff
40283,Sudhanshu,Boissier,2065-01-07,1985-05-11,9999-01-01,Senior Engineer
40301,Spyrose,Felder,2065-01-20,1996-06-16,1997-10-20,Senior Engineer
40536,Harngdar,Bernardinello,2065-01-20,1988-02-29,9999-01-01,Senior Engineer
40648,Wayne,Erev,2065-01-23,1990-09-19,1993-02-02,Staff
40765,Michaela,Ramsak,2065-01-01,1992-12-21,9999-01-01,Senior Staff
40773,Shimshon,Aingworth,2065-01-09,1986-04-13,9999-01-01,Senior Staff
40785,Youpyo,Castellani,2065-01-31,1998-09-04,1999-10-14,Engineer
40983,Marla,Cherinka,2065-01-17,1986-12-01,9999-01-01,Technique Leader
41114,Petter,Thummel,2065-01-25,1995-12-24,9999-01-01,Technique Leader
41137,Bikash,Buchter,2065-01-20,1987-11-23,1996-01-08,Senior Staff
41357,Willard,Vernadat,2065-01-06,1997-03-04,9999-01-01,Engineer
41518,Keung,Schapiro,2065-01-11,2001-02-08,9999-01-01,Senior Engineer
41520,Xiong,Uhrik,2065-01-20,1988-03-21,9999-01-01,Senior Engineer
41552,Uno,Heyers,2065-01-03,1990-09-28,2001-11-29,Senior Engineer
41609,Yucai,Simmen,2065-01-04,1987-10-13,9999-01-01,Senior Staff
42778,Shuji,Remmers,2065-01-19,1987-12-18,9999-01-01,Senior Staff
42911,Brigham,Eterovic,2065-01-29,1994-10-08,9999-01-01,Senior Engineer
42950,Shaleah,Eickenmeyer,2065-01-22,1993-10-09,9999-01-01,Senior Staff
42955,Yucel,Lortz,2065-01-12,1995-02-21,9999-01-01,Engineer
43154,Maha,Waterhouse,2065-01-13,1997-07-04,9999-01-01,Senior Staff
43358,Ottavia,Mitsuhashi,2065-01-07,1989-08-18,1996-07-13,Staff
43733,Huei,Boguraev,2065-01-26,1993-12-31,9999-01-01,Senior Staff
43848,Phillip,Oxenboll,2065-01-11,1999-05-26,9999-01-01,Engineer
44054,Alenka,Ritcey,2065-01-18,1997-02-09,9999-01-01,Engineer
44265,Maria,Eppinger,2065-01-24,1997-01-30,9999-01-01,Engineer
44540,Mingzeng,Sadowski,2065-01-16,1989-11-12,9999-01-01,Senior Engineer
44900,Mark,Schwaller,2065-01-05,1994-08-10,9999-01-01,Senior Staff
44959,Volkmar,Uhrik,2065-01-21,1988-01-16,9999-01-01,Senior Engineer
44962,Sariel,Wynblatt,2065-01-16,1996-05-18,9999-01-01,Assistant Engineer
45162,Dulce,Speel,2065-01-11,1987-10-19,9999-01-01,Senior Engineer
45590,Masoud,Genin,2065-01-21,1991-02-16,1994-06-01,Technique Leader
46000,Zhaofang,Penn,2065-01-26,1997-07-24,9999-01-01,Senior Staff
46015,Weiye,Masand,2065-01-19,1995-07-24,2002-01-29,Staff
46222,Mrinalini,Strooper,2065-01-20,1990-03-05,1992-09-04,Staff
46328,Wuxu,Trogemann,2065-01-05,1997-01-27,9999-01-01,Senior Staff
46531,Yaghout,Peng,2065-01-30,1995-10-02,1997-10-07,Assistant Engineer
46811,Junsik,Berendt,2065-01-10,1988-04-27,9999-01-01,Senior Engineer
46834,Tooru,Daescu,2065-01-22,1998-03-20,9999-01-01,Senior Staff
46943,Pasqua,Maraist,2065-01-31,1993-12-06,9999-01-01,Senior Engineer
47016,Toong,Litecky,2065-01-03,1989-03-01,9999-01-01,Senior Staff
47139,Marco,Usdin,2065-01-25,1996-10-29,9999-01-01,Engineer
47262,Gonzalo,Binkley,2065-01-10,1985-08-16,9999-01-01,Senior Engineer
47515,Naraig,Jenevein,2065-01-26,1987-01-18,9999-01-01,Senior Engineer
47702,Juyoung,Vieri,2065-01-21,1991-08-12,9999-01-01,Senior Staff
47708,Edwin,Haldar,2065-01-05,1995-07-12,9999-01-01,Senior Staff
48275,Sariel,Massonet,2065-01-29,1987-11-20,9999-01-01,Senior Staff
48690,Hitomi,Schaap,2065-01-12,1999-09-27,9999-01-01,Staff
48882,Leen,Lamparter,2065-01-28,1993-06-07,9999-01-01,Senior Engineer
48904,Yuichiro,Malabarba,2065-01-23,1994-03-07,9999-01-01,Senior Staff
48947,Filipp,Akaboshi,2065-01-05,1992-05-20,9999-01-01,Senior Staff
49010,Kazuhisa,Benantar,2065-01-16,1990-03-30,9999-01-01,Senior Staff
49017,Filipp,Flanders,2065-01-07,1990-11-26,9999-01-01,Senior Engineer
49119,Lena,Peek,2065-01-09,1991-05-16,9999-01-01,Senior Engineer
49177,Tze,Bach,2065-01-03,1999-03-09,9999-01-01,Engineer
49464,Siddarth,Cappelletti,2065-01-14,1999-09-10,9999-01-01,Staff
49477,Baocai,Leaver,2065-01-14,1998-08-05,9999-01-01,Senior Staff
50293,Xinan,Rindone,2065-01-26,1996-10-08,9999-01-01,Engineer
50311,Mooi,Stafford,2065-01-24,1996-10-06,9999-01-01,Senior Engineer
50360,Sumali,Kushner,2065-01-18,1999-10-30,2001-10-29,Engineer
50453,Aron,Harbusch,2065-01-12,1997-10-02,9999-01-01,Staff
50587,Slavian,Yemenis,2065-01-26,1993-08-06,1994-11-18,Technique Leader
50670,Boguslaw,Snedden,2065-01-30,1985-02-20,9999-01-01,Senior Staff
50831,Marie,Khalid,2065-01-06,1996-06-11,9999-01-01,Senior Engineer
51036,Chriss,Fasbender,2065-01-29,1995-05-23,9999-01-01,Staff
51057,Theirry,Albarhamtoshy,2065-01-29,1991-09-27,9999-01-01,Senior Staff
51060,Youngkon,Rohrbach,2065-01-15,1989-10-20,9999-01-01,Senior Engineer
51118,Fumiko,Mundy,2065-01-17,1998-09-22,2001-08-20,Staff
51142,Rosine,Lakshmanan,2065-01-29,1986-01-31,9999-01-01,Senior Engineer
51502,Slavian,Munawer,2065-01-29,1999-08-06,2001-09-04,Senior Staff
51868,Remmert,Munke,2065-01-19,1991-09-22,1998-05-19,Assistant Engineer
52038,Chikako,Armand,2065-01-13,1985-05-18,9999-01-01,Senior Engineer
52040,Phule,Heijenga,2065-01-14,1996-12-08,9999-01-01,Senior Staff
52283,Trygve,Krupka,2065-01-20,1994-03-11,9999-01-01,Senior Staff
52386,Adas,Denti,2065-01-28,1986-05-30,9999-01-01,Senior Staff
52590,Jouni,Munoz,2065-01-21,1996-10-07,9999-01-01,Senior Staff
52599,Augustine,Mungall,2065-01-25,1987-08-31,1994-01-13,Senior Engineer
52639,Arup,Colorni,2065-01-09,1996-02-05,9999-01-01,Senior Staff
52770,Shugo,Yurek,2065-01-31,1992-08-28,9999-01-01,Senior Staff
52778,Alain,Penn,2065-01-15,1986-05-03,9999-01-01,Technique Leader
52956,Khalil,Picci,2065-01-31,1987-03-21,1998-11-24,Senior Engineer
52970,Lobel,Werthner,2065-01-22,1988-03-17,9999-01-01,Senior Engineer
53088,Mechthild,Lamma,2065-01-25,1986-05-19,1993-06-03,Senior Engineer
53278,Premsyl,Lortz,2065-01-31,1993-02-01,9999-01-01,Senior Staff
53314,Eberhardt,Carrera,2065-01-06,1999-02-23,9999-01-01,Staff
53431,Sham,Vasanthakumar,2065-01-12,1985-10-24,1993-05-24,Senior Staff
53499,Zdislav,Mandelberg,2065-01-20,1994-09-11,9999-01-01,Senior Engineer
53597,Jiafu,Marchegay,2065-01-30,1985-03-02,9999-01-01,Senior Engineer
53746,Manu,Erva,2065-01-21,1989-03-17,1993-04-29,Staff
53874,Bodo,Schade,2065-01-23,1986-02-14,9999-01-01,Senior Staff
53891,Olivera,Pargaonkar,2065-01-23,1989-03-13,1992-03-29,Staff
53924,Arnould,Gaughan,2065-01-27,1991-01-23,9999-01-01,Senior Engineer
54198,Shaowen,Segond,2065-01-01,1986-01-06,9999-01-01,Senior Engineer
54632,Etsuo,Serot,2065-01-19,1989-06-14,9999-01-01,Senior Staff
54795,Sumant,Nergos,2065-01-29,1994-03-02,9999-01-01,Senior Staff
54800,Breannda,Cangellaris,2065-01-13,2000-01-27,9999-01-01,Staff
55121,Toshiko,Alblas,2065-01-12,1995-07-20,1996-07-23,Engineer
55640,Adit,Syrotiuk,2065-01-25,1993-07-16,9999-01-01,Senior Engineer
55670,Ulf,Ranft,2065-01-30,1990-03-25,1996-02-26,Senior Staff
55687,Shih,Lindqvist,2065-01-02,1995-03-29,9999-01-01,Senior Engineer
55799,Jianwen,Litzler,2065-01-23,1987-06-17,9999-01-01,Senior Engineer
55857,Adin,Scallan,2065-01-18,1987-09-15,9999-01-01,Senior Staff
56105,Makato,Remmers,2065-01-11,1989-04-16,9999-01-01,Senior Engineer
56209,Remzi,Douceur,2065-01-19,1992-12-01,9999-01-01,Senior Engineer
56415,Sigeru,Nivat,2065-01-30,1991-10-24,9999-01-01,Senior Staff
56428,Olivera,Hanabata,2065-01-27,1986-11-10,9999-01-01,Senior Staff
56682,Roded,Picco,2065-01-28,1993-11-06,9999-01-01,Assistant Engineer
56829,Nagui,Gruenwald,2065-01-09,1995-12-24,1997-06-14,Engineer
56847,Menkae,Chinin,2065-01-14,1989-08-19,1998-08-27,Senior Engineer
57934,Sanjoy,Boudaillier,2065-01-25,1989-12-27,9999-01-01,Senior Engineer
57982,Paloma,Benzaken,2065-01-29,1989-10-17,1998-09-11,Senior Staff
58141,Bezalel,Karner,2065-01-05,1994-09-27,9999-01-01,Staff
58147,Shigenori,Sullins,2065-01-09,1988-02-24,9999-01-01,Senior Staff
58217,Kiyotoshi,Kusalik,2065-01-30,1998-11-19,1999-06-26,Engineer
58384,Mariusz,Vural,2065-01-22,1993-11-14,9999-01-01,Senior Engineer
58454,Ziya,Zambonelli,2065-01-25,1999-06-29,9999-01-01,Engineer
58497,Yechiam,Cairo,2065-01-22,2000-10-21,9999-01-01,Senior Staff
58601,Sungwon,Asser,2065-01-06,2000-01-27,2000-04-01,Staff
58819,Gennady,Liesche,2065-01-04,1987-12-02,9999-01-01,Senior Staff
58990,Palash,Trelles,2065-01-04,1998-11-18,9999-01-01,Engineer
59195,Ronnie,Pollock,2065-01-08,1990-06-19,9999-01-01,Technique Leader
59329,Zissis,Bazzichi,2065-01-15,1987-02-07,1991-01-25,Staff
59640,Zita,Hiltgen,2065-01-18,1999-01-26,9999-01-01,Staff
59661,Saeko,Baik,2065-01-09,1997-10-11,1999-08-15,Staff
59869,Zsolt,Riefers,2065-02-01,1987-09-25,9999-01-01,Senior Staff
59966,Steen,Salvesen,2065-01-28,1993-02-03,9999-01-01,Technique Leader
60000,Heekeun,Emmart,2065-01-16,1995-09-23,9999-01-01,Engineer
60091,Surveyors,Bade,2065-02-01,1990-04-11,9999-01-01,Senior Staff
60238,Erzsebet,Claffy,2065-01-23,1999-02-19,9999-01-01,Staff
60559,Jeanna,Stemann,2065-01-19,1988-08-29,9999-01-01,Senior Engineer
60821,Moty,Mersereau,2065-01-02,1991-09-03,9999-01-01,Senior Staff
60845,Bedir,Siegrist,2065-01-14,1997-05-13,9999-01-01,Engineer
60875,Rildo,Masaki,2065-01-21,1990-01-14,9999-01-01,Senior Engineer
60959,Tetsushi,Sridhar,2065-01-09,1989-10-19,9999-01-01,Senior Staff
61147,Leszek,Werthner,2065-01-30,1999-03-03,9999-01-01,Staff
61253,Cheong,Uhrik,2065-01-09,1996-06-04,2002-05-09,Senior Engineer
61377,Dannz,Ohori,2065-01-01,1997-04-13,9999-01-01,Senior Staff
61541,Kasidit,Papsdorf,2065-01-08,1993-08-17,9999-01-01,Senior Engineer
61680,Hauke,Templeman,2065-01-24,1991-10-23,1999-02-21,Staff
61873,Woody,Rusmann,2065-01-19,1993-02-26,9999-01-01,Engineer
61983,Sastry,Reeken,2065-01-18,1990-07-24,1992-05-17,Staff
62033,Heeju,Cappelli,2065-01-24,1987-01-15,9999-01-01,Senior Engineer
62046,Karlis,Nanard,2065-01-31,1992-09-19,9999-01-01,Senior Engineer
62167,Mihalis,Haldar,2065-01-25,1998-05-11,2001-02-03,Senior Engineer
62245,Adel,Bressoud,2065-01-01,1995-08-30,9999-01-01,Engineer
62384,Akeel,Litzler,2065-01-02,1999-10-23,2001-12-21,Senior Staff
63294,Tetsushi,Tanemo,2065-01-23,1997-03-01,9999-01-01,Senior Engineer
63419,Hiroyasu,Seuren,2065-01-14,1989-03-05,9999-01-01,Senior Engineer
63441,Hinrich,Scallan,2065-01-15,1999-04-04,9999-01-01,Staff
63444,Padma,Peres,2065-01-19,1985-02-20,1994-12-22,Senior Staff
63566,Heekeun,Slaats,2065-01-31,1999-01-12,9999-01-01,Senior Staff
63631,Falguni,Cherinka,2065-01-22,1986-09-08,1987-10-15,Senior Engineer
63706,Sedat,Itzigehl,2065-01-26,1997-07-31,9999-01-01,Engineer
64023,Laurentiu,Benzmuller,2065-01-11,1999-11-08,9999-01-01,Senior Engineer
64209,Golgen,Schoegge,2065-01-24,1988-02-26,9999-01-01,Senior Staff
64431,Faiza,Zongker,2065-01-25,1995-12-10,2001-12-03,Technique Leader
64487,Tsutomu,Rebaine,2065-01-27,1986-09-17,9999-01-01,Senior Engineer
64532,Atilio,Segond,2065-01-23,1990-11-29,9999-01-01,Senior Engineer
64632,Zsolt,Brender,2065-01-07,1996-02-21,9999-01-01,Senior Staff
64790,Shin,Piveteau,2065-01-29,1985-04-19,9999-01-01,Senior Engineer
64828,Krister,Pappas,2065-01-27,1999-09-30,9999-01-01,Staff
64984,Eldridge,Eldridge,2065-01-06,1986-06-24,1994-08-04,Senior Engineer
65013,Chandrasekaran,Peral,2065-01-03,1985-02-28,2001-12-14,Senior Engineer
